Company Name,Rating
PT Sastra Indah Megahmas,4 out of 5
PT Semangat Sejahtera Bersama (Advance),4.5714 out of 5
PT Qualis Indonesia,4.25 out of 5
PT Sanwa Musen Indonesia,4.1111 out of 5
PT Superex Raya,4.1667 out of 5
PT.Keihin Indonesia(Industry Manufacring/Production),5 out of 5
PT Famon Global Awal Bros,3.6667 out of 5
PT Organik Sehat Alami,3.575 out of 5
PT. PERSOLKELLY Recruitment Indonesia,4.4118 out of 5
PT Jatropha Solutions,4.5 out of 5
PT Omni EComm Expo,3.5 out of 5
PT Segar Sumber Makmur,4.5 out of 5
KGXpress,4.5 out of 5
Yayasan Muslim Asia (AMCF),4.4286 out of 5
CV Maximindo Supply,4 out of 5
PT Multisoft Java Technologies,3.6667 out of 5
PT Teknologi Integrasi Armada,5 out of 5
Sanggar Liza,4.5 out of 5
Pt.tigaraksa satria tb,4.6 out of 5
PT SKS,4 out of 5
PT.ninja expret,3.5 out of 5
INTEGRAGROUP,4.2 out of 5
PT. SINGA LANGIT JAYA,4 out of 5
PT puncak prima lestari,5 out of 5
PT Indowurst Maestro Perkasa,4.5 out of 5
PT cahaya solaria,5 out of 5
PT. KelasKita Edukasi Indonesia,4.5 out of 5
Summarecon Serpong,3.8889 out of 5
PT Geotech Efathama,4.2 out of 5
PT Red Eye Utama,4.6667 out of 5
PT Krisna Nusantara Grup,4.5 out of 5
PT- PAKERIN-,4.1333 out of 5
PT Sekiso Industries Indonesia,3.4 out of 5
PT International Molding,3.6667 out of 5
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,4.5 out of 5
PT Cicil Solusi Mitra Teknologi,5 out of 5
PT Media Pressindo Utama,0 out of 5
PT Brataco Chemical (Industri Kimia),4.0769 out of 5
PT Budimas Makmur Mulia,3 out of 5
PT. Mensa Binasukses Cabang Jakarta 2,4.4 out of 5
PT Verra Inter Pangan,3.8 out of 5
PT Trans Kalla Makassar,3.8571 out of 5
PT Mitra Pinasthika Mustika (Medan),4 out of 5
PT Top One Plastindo,3.6667 out of 5
PT Central Sentosa Finance (Sukoharjo),0 out of 5
"PT Bank IBK Indonesia, Tbk",4.2727 out of 5
Hanwha Life Insurance Indonesia,4.3 out of 5
PT Multi Arta Prima Sejahtera,4 out of 5
PT Tunaskarya Indoswasta,4.75 out of 5
PT Prima Sekarkarsa,4.1 out of 5
PT Actavis Indonesia,4.3636 out of 5
PT Jaya Beton Indonesia,4 out of 5
PT Pemukasakti Manisindah (Lampung),4.5 out of 5
PT Small Potato Education (English First Depok),3.5 out of 5
Pt shippindo teknologi logistik(shipper),4.1 out of 5
PT. Inbisco Niagatama Semesta,4.4 out of 5
PT Rita Ritelindo,3.7059 out of 5
CV HARAPAN BARU,4 out of 5
PT Dunia Bangunan,4.1429 out of 5
Pioneer Pancing,2.5 out of 5
PT. Terminal Bangunan,3.75 out of 5
PT Wahana Ottomitra Multiartha Tbk (WOM),4.2727 out of 5
PT Bank Danamon Indonesia Tbk. [Bandung Branch],4 out of 5
PT Mitra Global Holiday,4.4333 out of 5
Homeschooling Kak Seto Pusat,4 out of 5
Pt prakasa alam segar ( wings grup - mie sedap ),4.5 out of 5
PT Artima Industry Indonesia,3.6667 out of 5
PT Kaltim Pasifik Amoniak,4.6667 out of 5
PT Putraduta Buanasentosa,3.9 out of 5
PT Angkasa Pura Suport,4 out of 5
Pt bintang indokarya gemilang brebes,4.4 out of 5
PT Graha Bara Lestari,3.75 out of 5
PT Calista Ayu (Canting Restaurant),4.3333 out of 5
PT AndaLand Property Development,4 out of 5
PT Englory Intertech Grup,4.6667 out of 5
PT Nirwana Kharisma Group,4.2 out of 5
PT Murindo Prima Karsatama,3.75 out of 5
Asian Sigma Technology,4 out of 5
PT.NIKOMAS GEMILANG DIVISI IY NIKE,5 out of 5
Pt carvil abadi,4.8 out of 5
PT Jasa Prima Logistik Bulog,4.3571 out of 5
PT Sunningdale Tech Batam,3.7143 out of 5
SERELA HOTEL,4 out of 5
Crew store,3.75 out of 5
PT Hotel Indonesia Natour,4.5 out of 5
PT ADRI UTAMA KARYA,4 out of 5
Pt pesta pora abadi(mie gacoan),3 out of 5
PT Nana Trend Lestari,3.0526 out of 5
PT Chiyoda Industry Indonesia,4.1667 out of 5
PT Matahari Sakti,4.0345 out of 5
PT Victory Apparel,0 out of 5
PT Indonesia Villajaya,3.75 out of 5
PT. Tri Adi Bersama,4.4583 out of 5
pt rpx one stop logistik,4.3571 out of 5
PT Phyto Kemo Agung Farma,3.8333 out of 5
Claro Makassar,4.5 out of 5
PT Jui Shin Indonesia(Karawang),3.6667 out of 5
PT Master Cipta Sentosa,3 out of 5
SBB OPPO (Indonesia Internet Operation),3 out of 5
PT Care Spunbond,3 out of 5
PT CAST Laboratories Indonesia,3.6667 out of 5
PT.HOGY kawasan MM210,4.5 out of 5
PT Fajar Mekar Indah,3.6667 out of 5
PT Asiasejahtera Perdana Pharmaceutical (Surabaya),0 out of 5
PT Triputra Globalindo,3.3333 out of 5
PT Patra Drilling Contractor,4.6 out of 5
PT Dasom Konstruksi dan Teknik,3 out of 5
PT Kayo Trans Perak,2.6667 out of 5
PT Fast Manufacturing,4.3333 out of 5
Ize Seminyak,5 out of 5
PT Century textille Industry Tbk (Centex),4 out of 5
Sinarmas World Academy,4.5 out of 5
Mensa Bina Sukses,3.5263 out of 5
PT. Richeese,5 out of 5
Centro Lifestyle Departement Store Solo,3.6 out of 5
PT Mattel TBK indonesia,5 out of 5
PT. SKY CYBERNET INDONESIA,4.6667 out of 5
PT Inter Equip Supplies Indonesia,3 out of 5
PT Allbest Solusi Sistem,4 out of 5
PT Agung Raya,4.3846 out of 5
"PT Tera Data Indonusa, Tbk",3.75 out of 5
PT WINTEXTILE,3.75 out of 5
PT Traktor Nusantara Cabang Surabaya,4.5 out of 5
PT Wirajaya Packindo,3.75 out of 5
PT Punch Industry Indonesia,3.6667 out of 5
PT Indo Raya Lestari,4 out of 5
Rumah Sakit Tebet,4 out of 5
Lembaga Pendidikan Pelita Kasih,4.5 out of 5
Evo Konsultan Properti Perbankan,4.5 out of 5
PT Noah Logistik Indonesia,4 out of 5
PT. SINARMAS DISTRIBUSI NUSANTARA,3.8919 out of 5
PT Triprima Multifinance,4 out of 5
"Dekatama Centra, PT",2.5 out of 5
PT Anglo Distrindo Antara,4.1429 out of 5
PT Indonesian Marine,3.6667 out of 5
"PT Bank Negara Indonesia (Persero), Tbk",4.2345 out of 5
PT Mahakam Ekagraha (Mahakam Group),0 out of 5
Dokumen lamaran,5 out of 5
PT Staedtler Indonesia (Serang),3.6667 out of 5
PT.SUNCHIRIN INDOSTRIES INDONESIA,5 out of 5
VIVA Health,3.8095 out of 5
NSCFINANCE,4 out of 5
PT. FINFLEET INDONESIA,3.5 out of 5
PT Setia Usaha,3.8 out of 5
PT Anugerah Cipta Asri,4.5 out of 5
PT Multipolar Technology Tbk,4.175 out of 5
PT MPM,4 out of 5
PT Inti Ganda Perdan,5 out of 5
PT Dae Baek,3.6667 out of 5
PT Supraco Indonesia,4.4286 out of 5
PT Nexgen Teknologi Mandiri,5 out of 5
PT Yamaha Indonesia Motor Manufacring,4.8235 out of 5
Atrium Premiere Cilacap Hotel,5 out of 5
EY Indonesia,4.4286 out of 5
Grandzuri Hotel BSD City,4.6667 out of 5
PT Suryamas Dutamakmur Tbk,3.7778 out of 5
PT.JNE Exspress ( PT jalur nugraha ekakurir),4.5 out of 5
PT Blue Dot Assistance,4.5 out of 5
PT Toyota Astra Motor,4.6364 out of 5
PT Eka Karya Sinergi,3.6667 out of 5
PT Putra Arga Binangun,4 out of 5
Klinik Utama CMI,3 out of 5
CV Sukses Makmur Abadi,4 out of 5
PT Top and Top Apparel,4.3333 out of 5
PT Marugo Rubber Indonesia,4.1111 out of 5
Sedana Golf & Country Club,4.5 out of 5
PT. MATARAM SURYA VISI SINEMA (MSV STUDIO),5 out of 5
PT STANLI TRIJAYA MANDIRI,3.825 out of 5
PT Townland International,4.3333 out of 5
PT.Grha humanindo menejemen,5 out of 5
PT Mega Kuningan Pinnacle,3 out of 5
PT.SAGAWA EXPRESS INDONESIA,2.5 out of 5
Crew/operator produksi,4.4706 out of 5
PT. NEOMAX MAGNETIC TECHNOLOGIES INDONESIA,4.6667 out of 5
PT.KRESNAREKSAFINANCE,4.2857 out of 5
PT Zenit Era Utama Servizio,5 out of 5
Michelindo Food International,4.2 out of 5
Pt JCO DONUT& CAFFE,5 out of 5
PT Energy Logistics,4.1538 out of 5
Bread n' Beyond,4.6667 out of 5
PT Exa Mitra Solusi,4.1915 out of 5
PT Yolita Jaya Indonesia,3.3333 out of 5
PT. Sinabu Nusaindo,3.6667 out of 5
PT. Pegadaian(persero),5 out of 5
PT Petrokimia,5 out of 5
PT Taka Hydrocore Indonesia,4.3333 out of 5
Kali Boyong Camp,5 out of 5
Trans driver,4.8333 out of 5
PT WISANA MATRA KARYA,5 out of 5
FTF Globalindo,4 out of 5
PT Naga Maseltraditama,3.25 out of 5
PT YAMAHA MANUFACTURING Mfg,4.7143 out of 5
PT. DKT Indonesia,3.8333 out of 5
PT Mitra Media Cakrawala,2.75 out of 5
PT Angkasa Sakti,4.75 out of 5
PT Matrica Consulting Service,3.3636 out of 5
PT Bumitangerang Mesindotama,4 out of 5
Geo Energy Group,4 out of 5
PT Integriya Dekorindo,4 out of 5
PT ITC Multifinance,5 out of 5
PT Fashion Studio Indonesia (Forever 21),4.2 out of 5
PT Multidaya Teknologi Nusantara,4.75 out of 5
PT Kaneka Foods Indonesia,5 out of 5
PT IMQ Multimedia Utama,3 out of 5
SpringHill Group (PT Grahatama Persadarealty),4.2143 out of 5
PT Bintang Kupu Kupu,4 out of 5
PT Vidya Artha Tama,4.2222 out of 5
PT Star Asia Brothers,0 out of 5
Compassion,4.5 out of 5
PT Nav Jaya Mandiri (Jakarta),4.2 out of 5
PT INDOMARCO PRISMATAN,4.6667 out of 5
PT.colombus,3.25 out of 5
PT WIK Far East Batam,4.3448 out of 5
PT TOPENG DWI MAKMUR,5 out of 5
SAUDARA MOTOR,0 out of 5
PT Jotun Indonesia,4.7083 out of 5
JSID PT Jingdong Pertama Indonesia,4.6667 out of 5
Lion Hotel and Plaza Manado,4.6667 out of 5
PT. Rotari Persada Palembang,3.3333 out of 5
PT Grogol Sarana Transjaya,3.9 out of 5
PT OSG Indonesia,4.4 out of 5
PT Dasa Matra Wasindo,4.5 out of 5
CV Karya Jaya Mandiri Sakti,3.7 out of 5
PT Asiana Lintas Development,5 out of 5
PT JIG Nusantara Persada,3.5 out of 5
PT.JCO DONUT & KOFFE,4.5385 out of 5
PT ASURANSI ASKRIDA SYARIAH,5 out of 5
PT MHE-Demag Indonesia,4 out of 5
Centratama Group,4.3333 out of 5
nss nusantarasakti,3.5 out of 5
PT Rovski Trading Indonesia,4.5 out of 5
PT.Matahari putera prima TBK,4.5 out of 5
PT. ABDI BORNEO PLANTATIONS,4.6667 out of 5
PT Sentra Boga Handal,2.6364 out of 5
PT Karoseri Nusantara Gemilang,3.75 out of 5
CV Multi Teknik,3.6667 out of 5
PT Infratech Indonesia,3.9231 out of 5
PT.Kapal Api Global(makanan dan minuman,4 out of 5
PT. CLS SYSTEM,3.8333 out of 5
Hotel Ambhara,4.75 out of 5
Driver profesional,5 out of 5
PT.Makmur Sejahtera Mesindo,3.3333 out of 5
PT Bukit Baja Anugrah,0 out of 5
PT Matrixnet Global Indonesia,4.5 out of 5
PT Firmenich Indonesia,4.75 out of 5
PT DWI PRIMA SENTOSA NGORO,5 out of 5
PT Unggul Pawenang Sentosa,3.8333 out of 5
PT Biogen Scientific,3.5 out of 5
Wahana Express Logistik,4 out of 5
PT.YAMAHA INDONESIA MOTOR MFG (YAMAHA),5 out of 5
PT Louie Jaya Perkasa,5 out of 5
Menarini Group,3.5 out of 5
Pt kheihin indonesia,3 out of 5
Pt cogindo Daya Bersama Subsidiary Indonesia Power( PLN Group ),4.4 out of 5
PT Indo Prima Semesta,4.5 out of 5
PT Alam Jaya Primanusa,4.375 out of 5
PT Inti Artistika Solusitama,4.2 out of 5
PT Surya Pertiwi Nusantara,4.3333 out of 5
PT Renesola Clean Energy,3.4444 out of 5
PT.PRATAMA ABADI INDUSTI,4.4706 out of 5
Creativkids (Kelapa Gading),3.5 out of 5
PT Deus Ex Machina Indonesia,4 out of 5
PT Venturindo Jaya Batam,4.5 out of 5
PPM Manajemen,4.1538 out of 5
PT Foody Direktori Indonesia,4.4 out of 5
PT Swamedia Informatika,4.0909 out of 5
PT Novo Complast Indonesia,4 out of 5
PT. Lebih Bagus ENG,5 out of 5
"Lazada, J&T,Shoppe",4.75 out of 5
PT Mulia Sawit Agro Lestari,3.8462 out of 5
PT Sinar Jaya Komunika,3.8 out of 5
PT Asuransi Jiwa Sinarmas MSIG (Surabaya),4 out of 5
EXO Travel Indonesia,4 out of 5
PT Berkat Abadi Surya Cemerlang (Kediri),4 out of 5
PT PANASONIC ELECTRONIK,4.1667 out of 5
PT Tas Centre Cemerlang,4.3333 out of 5
PT Mirae Asset Sekuritas,3.5 out of 5
PT GAPURA LIQUA SOLUTIONS,3 out of 5
PT astra international Daihatsu sales opration,5 out of 5
Anggraeni and Partners,4.5 out of 5
PT Wijaya Kusuma Contractors,4.0313 out of 5
PT ZTE Indonesia,4.3478 out of 5
PT.saka Farma Laboratories (kalbe Costomer Health),4.5714 out of 5
PT Yamaha Indonesia,4.4831 out of 5
PT Doxadigital Indonesia,4.4 out of 5
PT Uyemura Indonesia,4.5 out of 5
PT Java Cell,5 out of 5
Pt HanyoungNux,4 out of 5
Kementerian Luar Negeri,4.8065 out of 5
PT alam segar perkasa,4.5455 out of 5
Lessons For Life,4.3333 out of 5
Richeese facftory,4.6667 out of 5
Mandiri Sekuritas Online Trading,5 out of 5
PT Magkna Bhakti Informasi,3.6667 out of 5
PT Gatra Mapan,4.8 out of 5
PT Borine Technology Indonesia,4.5 out of 5
ACT Foundation Aksi Cepat Tanggap,4.75 out of 5
PT. Pancakarsa Berjaya Rahmat,4 out of 5
PT DEXA Interior | Furniture Manufacturer,4.5 out of 5
PT Putra Mulia Telecommunication,3.2727 out of 5
PT Dream Tours & Travel,0 out of 5
PT Indo Bangi Kopitiam,4.1333 out of 5
PT Nindya Karya ( Persero ) Divisi EPC,4.7143 out of 5
Pt.frisian flang indonesia,4.4118 out of 5
PT Alphacon Valfindo,0 out of 5
PT INFORMA TEKNOLOGI INDONESIA,4.6667 out of 5
PT Surya Gemilang Perkasa,4.4 out of 5
PT rechesee,4.75 out of 5
PT. Mitra Bangun Graha Mandiri,4.25 out of 5
Pt indofood Palembang,4.5 out of 5
Semua perusahaan yg membuka lowongan kerja keluaran SMK sederajat,4.5 out of 5
"Pt,AHM",4.875 out of 5
Provices Group,3.8 out of 5
